Split,Criterion,threshold,F1_or_J,accuracy,precision,recall,f1_score,roc_auc
Val,F1,0.62,0.2788104089219331,,,,,
Val,Youden,0.61,0.41317702756015895,,,,,
Test,F1,0.62,,0.7990788716177317,0.18559556786703602,0.5491803278688525,0.2774327122153209,0.7431254123737502
Test,Youden,0.61,,0.788140472078296,0.17801047120418848,0.5573770491803278,0.2698412698412698,0.7431254123737502
