Split,Accuracy,Precision,Recall,F1-Score,ROC AUC
Train,0.6705780632411067,0.13907967032967034,0.7168141592920354,0.23295944779982744,0.7642553551515094
Val,0.6510957324106112,0.1355421686746988,0.743801652892562,0.22929936305732485,0.7527450005892209
Test,0.6810592976396085,0.13758389261744966,0.6721311475409836,0.22841225626740946,0.7431254123737502
