Split,Criterion,threshold,F1_or_J,accuracy,precision,recall,f1_score,roc_auc
Val,F1,0.62,0.2851782363977486,,,,,
Val,Youden,0.62,0.4197916720038064,,,,,
Test,F1,0.62,,0.7996545768566494,0.18258426966292135,0.5327868852459017,0.2719665271966527,0.7419047860731869
Test,Youden,0.62,,0.7996545768566494,0.18258426966292135,0.5327868852459017,0.2719665271966527,0.7419047860731869
