Split,Accuracy,Precision,Recall,F1-Score,ROC AUC
Train,0.6678606719367589,0.1377899045020464,0.7150442477876107,0.23105519016299686,0.7657141044156132
Val,0.6447520184544406,0.13224368499257058,0.7355371900826446,0.22418136020151133,0.7501780471684096
Test,0.6770293609671848,0.1335559265442404,0.6557377049180327,0.22191400832177532,0.7419047860731869
