epoch,train_mse,train_mae,val_mse,val_mae,lr
1,0.8555926032393817,0.7306975847176412,0.7700150685326863,0.6866113694068883,0.0001
2,0.5636162620052518,0.5945462492025888,0.5465304524978277,0.5816791712756525,0.0001
3,0.41454417829810397,0.510340726952779,0.4074645364160769,0.5036959755379435,0.0001
4,0.3186905055855338,0.4454789619613071,0.314585185174711,0.44437718742034016,0.0001
5,0.2534570521030855,0.3981817551398937,0.267124842229324,0.4078248711055813,0.0001
6,0.21553636610272373,0.3640165336636215,0.2241982966489583,0.3727005611516475,0.0001
7,0.1722571040198148,0.31876429249882227,0.111152343323074,0.256382020630776,0.0001
8,0.09053122700217803,0.22298549388060457,0.10464977308454673,0.2520338356701148,0.0001
9,0.07536939338490131,0.2015693696885712,0.09562866641541529,0.22837063553286532,0.0001
10,0.06624946506922189,0.1891654022921451,0.09260923555926469,0.21843869332761226,0.0001
11,0.055878885813690576,0.17585869214457014,0.09195747870990562,0.22070323754071913,0.0001
12,0.047149538580630077,0.1613198075252088,0.09736405975790104,0.21583077549556273,0.0001
13,0.039731721999307745,0.15021981528625186,0.09627211012693837,0.2291385194903289,0.0001
14,0.03426829581480223,0.13802455798557153,0.1013196463596759,0.2212851865790707,5e-05
15,0.025043667369547922,0.11848198445771523,0.08652949814857634,0.19839331870329283,5e-05
16,0.01782366451982173,0.09974405277711837,0.08533438389010152,0.20207235875357943,5e-05
17,0.07636747138552633,0.19828259140959842,0.10441880029085873,0.2502582581947969,5e-05
18,0.0615548797526025,0.1775236583568833,0.08624116000918093,0.21232854304222912,5e-05
19,0.043523694245004844,0.15285022671632617,0.09089281645441276,0.22873102432716264,2.5e-05
20,0.025824163327170278,0.11718118702440629,0.08474250283036402,0.20891969464504456,2.5e-05
