Split,Accuracy_baseline,Precision_baseline,Recall_baseline,F1-Score_baseline,ROC AUC_baseline,Accuracy_yolo,Precision_yolo,Recall_yolo,F1-Score_yolo,ROC AUC_yolo,ΔAccuracy,ΔPrecision,ΔRecall,ΔF1-Score,ΔROC AUC
Train,0.6705780632411067,0.1390796703296703,0.7168141592920354,0.2329594477998274,0.7642553551515094,0.6678606719367589,0.1377899045020464,0.7150442477876107,0.2310551901629968,0.7657141044156132,-0.0027173913043477826,-0.0012897658276239121,-0.001769911504424737,-0.0019042576368306086,0.0014587492641037203
Val,0.6510957324106112,0.1355421686746988,0.743801652892562,0.2292993630573248,0.7527450005892209,0.6447520184544406,0.1322436849925705,0.7355371900826446,0.2241813602015113,0.7501780471684096,-0.006343713956170616,-0.0032984836821282892,-0.008264462809917328,-0.005118002855813486,-0.0025669534208112577
Test,0.6810592976396085,0.1375838926174496,0.6721311475409836,0.2284122562674094,0.7431254123737502,0.6770293609671848,0.1335559265442404,0.6557377049180327,0.2219140083217753,0.7419047860731869,-0.004029936672423684,-0.00402796607320921,-0.016393442622950838,-0.006498247945634111,-0.001220626300563299
