Split,Model,log_likelihood,log_likelihood_null,mcfadden_pseudo_r2,auc
Train,Baseline,-4733.093396472612,-19514.408663124537,0.7574564785344218,0.7642553551515094
Train,YOLO,-4722.17969157447,-19514.408663124537,0.7580157424653224,0.7657141044156132
