Split,Criterion,threshold,F1_or_J,accuracy,precision,recall,f1_score,roc_auc,model
Val,F1,0.62,0.2788104089219331,,,,,,Baseline
Val,Youden,0.61,0.4131770275601589,,,,,,Baseline
Test,F1,0.62,,0.7990788716177317,0.185595567867036,0.5491803278688525,0.2774327122153209,0.7431254123737502,Baseline
Test,Youden,0.61,,0.788140472078296,0.1780104712041884,0.5573770491803278,0.2698412698412698,0.7431254123737502,Baseline
Val,F1,0.62,0.2851782363977486,,,,,,YOLO
Val,Youden,0.62,0.4197916720038064,,,,,,YOLO
Test,F1,0.62,,0.7996545768566494,0.1825842696629213,0.5327868852459017,0.2719665271966527,0.7419047860731869,YOLO
Test,Youden,0.62,,0.7996545768566494,0.1825842696629213,0.5327868852459017,0.2719665271966527,0.7419047860731869,YOLO
